"item_id","item_name","quality","item_level","required_level","item_class","item_subclass","purchase_price_gold","purchase_price_silver","sell_price_gold","sell_price_silver","max_count","is_stackable"
40,"Recruit's Boots","Common",1,0,"Armor","Cloth",0,0,0,0,0,0
117,"Tough Jerky","Common",5,1,"Consumable","Food & Drink",0,0,0,0,0,1
118,"Minor Healing Potion","Common",5,1,"Consumable","Potion",0,0,0,0,0,1
159,"Refreshing Spring Water","Common",5,1,"Consumable","Food & Drink",0,0,0,0,0,1
422,"Dwarven Mild","Common",25,15,"Consumable","Food & Drink",0,5,0,0,0,1
647,"Destiny","Epic",57,52,"Weapon","Sword",35,1,7,0,0,0
720,"Brawler Gloves","Rare",28,23,"Armor","Leather",0,53,0,10,0,0
723,"Goretusk Liver","Common",12,0,"Trade Goods","Meat",0,0,0,0,0,1
727,"Notched Shortsword","Uncommon",10,5,"Weapon","Sword",0,12,0,2,0,0
730,"Murloc Eye","Poor",11,0,"Trade Goods","Meat",0,0,0,0,0,1
731,"Goretusk Snout","Poor",12,0,"Trade Goods","Meat",0,1,0,0,0,1
754,"Shortsword of Vengeance","Rare",47,42,"Weapon","Sword",11,77,2,35,0,0
765,"Silverleaf","Common",5,0,"Trade Goods","Herb",0,0,0,0,0,1
767,"Long Bo Staff","Common",8,3,"Weapon","Staff",0,5,0,1,0,0
769,"Chunk of Boar Meat","Common",5,0,"Trade Goods","Meat",0,0,0,0,0,1
774,"Malachite","Uncommon",7,0,"Gem","Simple",0,2,0,0,0,1
783,"Light Hide","Common",10,0,"Trade Goods","Leather",0,2,0,0,0,1
785,"Mageroyal","Common",10,0,"Trade Goods","Herb",0,0,0,0,0,1
787,"Slitherskin Mackerel","Common",5,1,"Consumable","Food & Drink",0,0,0,0,0,1
789,"Stout Battlehammer","Uncommon",22,17,"Weapon","Mace",0,98,0,19,0,0
790,"Forester's Axe","Uncommon",23,18,"Weapon","Axe",1,1,0,20,0,0
791,"Gnarled Ash Staff","Rare",31,26,"Weapon","Staff",3,53,0,70,0,0
804,"Large Blue Sack","Common",25,0,"Container","Bag",1,0,0,25,0,0
805,"Small Red Pouch","Common",5,0,"Container","Bag",0,10,0,2,0,0
810,"Hammer of the Northern Wind","Epic",54,49,"Weapon","Mace",22,63,4,52,0,0
811,"Axe of the Deep Woods","Epic",57,52,"Weapon","Axe",27,6,5,41,0,0
812,"Glowing Brightwood Staff","Epic",54,49,"Weapon","Staff",28,50,5,70,0,0
818,"Tigerseye","Uncommon",15,0,"Gem","Simple",0,4,0,1,0,1
828,"Small Blue Pouch","Common",5,0,"Container","Bag",0,10,0,2,0,0
856,"Blue Leather Bag","Common",15,0,"Container","Bag",0,35,0,8,0,0
857,"Large Red Sack","Common",25,0,"Container","Bag",1,0,0,25,0,0
858,"Lesser Healing Potion","Common",13,3,"Consumable","Potion",0,1,0,0,0,1
863,"Gloom Reaper","Uncommon",37,32,"Weapon","Axe",4,48,0,89,0,0
864,"Knightly Longsword","Uncommon",38,33,"Weapon","Sword",4,85,0,97,0,0
866,"Monk's Staff","Uncommon",42,37,"Weapon","Staff",8,32,1,66,0,0
868,"Ardent Custodian","Epic",43,38,"Weapon","Mace",10,76,2,15,0,0
869,"Dazzling Longsword","Epic",41,36,"Weapon","Sword",9,26,1,85,0,0
870,"Fiery War Axe","Epic",40,35,"Weapon","Axe",10,76,2,15,0,0
871,"Flurry Axe","Epic",47,42,"Weapon","Axe",14,81,2,96,0,0
890,"Twisted Chanter's Staff","Rare",24,19,"Weapon","Staff",1,75,0,35,0,0
929,"Healing Potion","Common",22,12,"Consumable","Potion",0,3,0,0,0,1
932,"Fel Steed Saddlebags","Common",25,0,"Container","Bag",0,25,0,6,1,0
933,"Large Rucksack","Common",25,0,"Container","Bag",1,0,0,25,0,0
934,"Stalvan's Reaper","Rare",37,32,"Weapon","Axe",5,34,1,6,0,0
935,"Night Watch Shortsword","Rare",20,15,"Weapon","Sword",0,87,0,17,0,0
937,"Black Duskwood Staff","Rare",38,33,"Weapon","Staff",7,28,1,45,0,0
940,"Robes of Insight","Epic",47,42,"Armor","Cloth",6,28,1,25,0,0
954,"Scroll of Strength","Common",1,1,"Consumable","Scroll",0,2,0,0,0,1
955,"Scroll of Intellect","Common",1,1,"Consumable","Scroll",0,1,0,0,0,1
1015,"Lean Wolf Flank","Common",19,0,"Trade Goods","Meat",0,0,0,0,0,1
1017,"Seasoned Wolf Kabob","Common",25,15,"Consumable","Food & Drink",0,4,0,1,0,1
1080,"Tough Condor Meat","Common",15,0,"Trade Goods","Meat",0,3,0,0,0,1
1121,"Feet of the Lynx","Rare",24,19,"Armor","Leather",0,53,0,10,0,0
1169,"Blackskull Shield","Epic",46,41,"Armor","Shield",9,40,1,88,0,0
1179,"Ice Cold Milk","Common",15,5,"Consumable","Food & Drink",0,1,0,0,0,1
1180,"Scroll of Stamina","Common",1,1,"Consumable","Scroll",0,1,0,0,0,1
1203,"Aegis of Stormwind","Rare",54,49,"Armor","Shield",11,75,2,35,0,0
1205,"Melon Juice","Common",25,15,"Consumable","Food & Drink",0,5,0,0,0,1
1206,"Moss Agate","Uncommon",25,0,"Gem","Simple",0,16,0,4,0,1
1207,"Murphstar","Uncommon",39,34,"Weapon","Mace",4,94,0,98,0,0
1210,"Shadowgem","Uncommon",20,0,"Gem","Simple",0,10,0,2,0,1
1251,"Linen Bandage","Common",1,0,"Consumable","Bandage",0,0,0,0,0,1
1263,"Brain Hacker","Epic",60,55,"Weapon","Axe",39,53,7,90,0,0
1265,"Scorpion Sting","Rare",39,34,"Weapon","Sword",5,88,1,17,0,0
1288,"Large Venom Sac","Common",1,0,"Trade Goods","Other",0,7,0,1,0,1
1391,"Riverpaw Mystic Staff","Uncommon",18,13,"Weapon","Staff",0,69,0,13,0,0
1427,"Patchwork Shoes","Poor",10,5,"Armor","Cloth",0,1,0,0,0,0
1468,"Murloc Fin","Common",16,0,"Trade Goods","Meat",0,1,0,0,0,1
1470,"Murloc Skin Bag","Common",25,0,"Container","Bag",0,35,0,8,1,0
1477,"Scroll of Agility II","Common",15,15,"Consumable","Scroll",0,3,0,0,0,1
1486,"Tree Bark Jacket","Rare",25,20,"Armor","Cloth",0,67,0,13,0,0
1515,"Rough Wooden Staff","Poor",12,7,"Weapon","Staff",0,9,0,1,0,0
1529,"Jade","Uncommon",35,0,"Gem","Simple",0,28,0,7,0,1
1607,"Soulkeeper","Rare",54,49,"Weapon","Staff",21,71,4,34,0,0
1608,"Skullcrusher Mace","Uncommon",47,42,"Weapon","Mace",9,47,1,89,0,0
1613,"Spiritchaser Staff","Uncommon",44,39,"Weapon","Staff",9,56,1,91,0,0
1625,"Exquisite Flamberge","Uncommon",41,36,"Weapon","Sword",7,37,1,47,0,0
1639,"Grinning Axe","Uncommon",49,44,"Weapon","Axe",14,23,2,84,0,0
1640,"Monstrous War Axe","Uncommon",42,37,"Weapon","Axe",7,81,1,56,0,0
1645,"Moonberry Juice","Common",45,35,"Consumable","Food & Drink",0,20,0,1,0,1
1685,"Troll-Hide Bag","Common",45,0,"Container","Bag",2,50,0,62,0,0
1705,"Lesser Moonstone","Uncommon",30,0,"Gem","Simple",0,24,0,6,0,1
1707,"Stormwind Brie","Common",35,25,"Consumable","Food & Drink",0,10,0,0,0,1
