item_id,item_name,quality,item_level,required_level,item_class,item_subclass,purchase_price_gold,purchase_price_silver,sell_price_gold,sell_price_silver,max_count,is_stackable
35,Bent Staff,Common,2,1,Weapon,Staff,0,0,0,0,0,0
36,Worn Mace,Common,2,1,Weapon,Mace,0,0,0,0,0,0
38,Recruit's Shirt,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
39,Recruit's Pants,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
40,Recruit's Boots,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
43,Squire's Boots,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
44,Squire's Pants,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
45,Squire's Shirt,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
51,Neophyte's Boots,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
52,Neophyte's Pants,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
53,Neophyte's Shirt,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
55,Apprentice's Boots,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
56,Apprentice's Robe,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
57,Acolyte's Robe,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
59,Acolyte's Shoes,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
117,Tough Jerky,Common,5,1,Consumable,Food & Drink,0,0,0,0,0,1
118,Minor Healing Potion,Common,5,1,Consumable,Potion,0,0,0,0,0,1
120,Thug Pants,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
121,Thug Boots,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
127,Trapper's Shirt,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
139,Brawler's Pants,Poor,1,1,Armor,Cloth,0,0,0,0,0,0
140,Brawler's Boots,Common,1,0,Armor,Miscellaneous,0,0,0,0,0,0
159,Refreshing Spring Water,Common,5,1,Consumable,Food & Drink,0,0,0,0,0,1
194,Tattered Cloth Pants,Common,5,1,Armor,Cloth,0,0,0,0,0,0
209,Dirty Leather Pants,Common,5,1,Armor,Leather,0,0,0,0,0,0
